"By province","By age group",2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4,2023.3/4,2023.4/4,2024.1/4,2024.2/4,2024.3/4,2024.4/4,2025.1/4,2025.2/4,2025.3/4,2025.4/4
"Jeollabuk-do","30-59 Years old",1.9,2.5,1.5,1.3,1.5,1.6,1.5,1.4,2.1,2.4,1.3,1.1,1.6,2.0,1.3,1.1,1.7,1.8,1.1,1.3,1.6,2.2,1.2,1.2
"Jeollabuk-do","60 Years old and over",1.4,0.6,0.3,3.0,3.8,1.0,0.8,3.5,3.6,0.7,0.4,4.0,2.7,0.9,0.6,3.5,2.3,0.7,0.8,5.7,3.9,0.9,0.4,6.5
"Jeollanam-do","Total",3.1,2.5,1.8,2.0,3.8,2.1,1.5,2.1,3.0,2.0,1.8,2.1,3.1,1.6,1.9,2.3,3.0,2.3,2.1,3.5,3.5,2.4,2.4,3.6
"Jeollanam-do","15-29 Years old",7.1,7.6,6.7,6.5,13.4,7.1,4.5,2.4,6.7,7.7,6.7,3.6,9.7,7.8,6.9,6.9,6.4,6.2,6.1,6.7,8.3,4.2,6.4,5.5
"Jeollanam-do","30-59 Years old",2.0,2.2,1.3,1.1,1.3,1.8,1.3,1.4,2.1,1.8,1.7,1.4,1.8,1.0,1.6,1.4,1.6,1.9,1.8,1.7,1.7,2.2,2.3,2.3
"Jeollanam-do","60 Years old and over",4.0,1.4,1.1,2.4,5.4,1.0,0.9,3.2,3.4,0.7,0.6,2.9,3.3,0.9,1.0,2.4,4.2,2.0,1.4,5.4,5.0,2.2,1.4,5.2
"Gyeongsangbuk-do","Total",4.2,4.9,3.5,3.6,5.4,3.7,1.8,2.0,3.4,2.2,1.8,2.6,3.0,2.7,2.2,2.5,3.4,2.7,1.8,2.3,3.1,3.1,1.9,2.6
"Gyeongsangbuk-do","15-29 Years old",8.6,15.2,10.3,8.0,12.1,11.0,4.7,4.2,10.0,7.6,5.8,5.9,9.1,8.6,7.7,4.8,7.5,8.1,4.3,3.9,7.6,11.3,5.2,3.1
"Gyeongsangbuk-do","30-59 Years old",3.1,3.6,2.8,3.1,3.9,3.2,1.8,1.6,1.7,1.5,1.6,1.8,2.1,2.5,2.1,1.7,2.4,2.4,1.7,1.5,2.4,2.5,2.1,1.5
"Gyeongsangbuk-do","60 Years old and over",4.8,3.3,2.3,2.8,5.7,1.9,0.6,2.1,4.0,1.3,0.8,3.0,2.6,1.1,0.8,3.2,3.8,1.4,1.2,3.2,2.9,1.5,0.6,4.1
"Gyeongsangnam-do","Total",4.0,4.3,3.7,4.0,5.7,3.8,3.1,3.7,3.8,3.6,3.0,2.8,3.7,2.4,1.7,2.2,2.7,2.0,1.8,2.6,2.3,1.9,1.6,2.1
"Gyeongsangnam-do","15-29 Years old",9.9,11.0,10.4,9.0,11.1,7.1,8.2,7.5,4.3,9.9,8.8,4.3,9.0,6.4,4.1,5.1,6.2,4.9,3.4,5.6,7.9,6.2,4.2,2.7
"Gyeongsangnam-do","30-59 Years old",3.0,3.7,3.3,3.5,4.6,3.8,2.9,3.2,3.1,3.2,2.4,2.4,2.5,2.0,1.5,1.5,2.1,1.9,1.8,1.4,1.4,1.6,1.7,1.5
"Gyeongsangnam-do","60 Years old and over",4.1,2.4,1.5,3.2,6.1,2.2,1.3,3.3,5.3,1.8,2.1,3.0,4.5,1.5,1.2,2.8,3.1,1.1,1.4,4.3,2.3,0.9,0.7,3.2
"Jeju-do","Total",2.7,3.2,2.1,1.9,4.0,3.3,2.6,2.6,2.5,2.0,1.8,2.2,2.7,2.1,1.4,1.4,2.6,2.3,1.9,2.6,2.4,2.0,1.5,2.8
"Jeju-do","15-29 Years old",7.6,7.0,6.3,6.4,6.4,9.2,8.2,7.5,5.6,7.3,4.6,3.3,5.5,5.5,2.4,2.5,5.7,5.9,5.9,7.6,4.3,4.2,4.6,4.5
"Jeju-do","30-59 Years old",1.8,2.6,1.5,1.0,2.7,2.7,2.0,1.4,1.4,1.4,1.7,2.0,2.0,1.9,1.4,0.9,2.0,2.2,1.8,1.4,2.0,1.7,1.5,1.6
"Jeju-do","60 Years old and over",2.8,2.8,1.3,2.1,6.5,1.8,1.4,3.2,3.9,0.8,0.7,2.1,3.2,0.9,0.7,2.3,2.6,0.6,0.5,3.7,2.7,2.0,0.4,5.2
