"Period","City_Province","Retail_Sales","Population","Population_Male","Population_Female","Population_15_29","Population_30_59","Population_60_Plus","Population_below_15","Unemployment_Rate_15_29","Unemployment_Rate_30_59","Unemployment_Rate_60_Plus","Number_of_Households","Household_Size","Retail_Sales_Per_Household"
"2020.03","Jeju-do","38401","670508.0","337055.0","333453.0","118579","308117","147368","96444","7.6","1.8","2.8","294297.0","2.278337869567138","0.13048383095988067"
"2020.03","Jeollabuk-do","74055","1812936.0","901252.0","911684.0","309511","770931","515543","216951","10.6","1.9","1.4","820140.0","2.2105201550954714","0.09029555929475455"
"2020.03","Jeollanam-do","58965","1859290.0","933896.0","925394.0","295197","773260","574702","216131","7.1","2.0","4.0","875423.0","2.123876114746814","0.06735600960906898"
"2020.03","Sejong","32017","344792.0","171951.0","172841.0","54208","170511","49708","70365","7.8","1.7","7.1","137208.0","2.512914698851379","0.23334645210191826"
"2020.03","Seoul","1290280","9733655.0","4742217.0","4991438.0","1901311","4596904","2210056","1025384","8.9","3.2","5.0","4354006.0","2.2355630653701444","0.2963431837255162"
"2020.03","Ulsan","102192","1144563.0","588127.0","556436.0","207401","558912","220219","158031","12.2","3.1","7.1","470294.0","2.4337180572152737","0.21729386298783315"
"2020.04","Busan","396520","3408347.0","1671199.0","1737148.0","585267","1524030","930485","368565","13.3","3.5","4.1","1507504.0","2.260920700707925","0.26303081119519417"
"2020.04","Chungcheongbuk-do","79434","1596613.0","809005.0","787608.0","278707","713885","405189","198832","10.2","1.8","2.2","726381.0","2.1980379442744233","0.10935583392186744"
"2020.04","Chungcheongnam-do","127653","2118457.0","1080256.0","1038201.0","348465","942985","548734","278273","10.4","3.1","2.5","964860.0","2.1956107621831147","0.13230209564081835"
"2020.04","Daegu","264217","2431523.0","1200899.0","1230624.0","448832","1119887","571584","291220","10.9","3.5","2.7","1041932.0","2.3336676481766565","0.2535837271530196"
"2020.04","Daejeon","158786","1471650.0","734902.0","736748.0","293259","682154","306903","189334","8.7","4.0","5.9","640500.0","2.297658079625293","0.24790944574551133"
"2020.04","Gangwon-do","74470","1537780.0","773468.0","764312.0","255159","664075","446124","172422","9.5","3.0","3.1","722573.0","2.1282001956895704","0.10306225114971082"
"2020.04","Gwangju","127889","1456096.0","720536.0","735560.0","295507","668964","292670","198955","9.2","3.4","2.9","622374.0","2.3395835944303585","0.20548576900706006"
"2020.04","Gyeonggi-do","1202642","13311254.0","6696531.0","6614723.0","2481911","6426671","2582346","1820326","8.9","3.1","3.3","5529263.0","2.407419216629775","0.2175049369147389"
"2020.04","Gyeongsangbuk-do","98542","2651054.0","1334981.0","1316073.0","411487","1151742","783399","304426","15.2","3.6","3.3","1235801.0","2.145211081719468","0.07973937551434251"
"2020.04","Gyeongsangnam-do","184200","3353380.0","1688178.0","1665202.0","554059","1540389","820660","438272","11.0","3.7","2.4","1461207.0","2.294938362600234","0.12606016806653678"
"2020.04","Incheon","180178","2950972.0","1478916.0","1472056.0","551282","1418366","610609","370715","8.7","4.1","4.5","1246255.0","2.367871743744258","0.14457554834283515"
"2020.04","Jeju-do","39006","670595.0","337119.0","333476.0","118265","308112","147840","96378","7.0","2.6","2.8","295387.0","2.2702251622447838","0.13205049646734623"
"2020.04","Jeollabuk-do","76843","1811619.0","900628.0","910991.0","308779","769270","517256","216314","11.0","2.5","0.6","821517.0","2.2052118215447765","0.09353793043844498"
"2020.04","Jeollanam-do","57858","1857083.0","932970.0","924113.0","294009","771253","576306","215515","7.6","2.2","1.4","877388.0","2.11660405658614","0.06594345945009505"
"2020.04","Sejong","34818","345216.0","172176.0","173040.0","54185","170673","49946","70412","13.0","1.7","2.8","137500.0","2.510661818181818","0.25322181818181816"
"2020.04","Seoul","1427843","9726787.0","4737843.0","4988944.0","1898727","4589297","2216956","1021807","10.1","3.8","6.1","4361645.0","2.230073057298336","0.32736341449155076"
"2020.04","Ulsan","120380","1144098.0","587902.0","556196.0","206753","558108","221475","157762","12.1","3.2","4.7","471153.0","2.4282939936708456","0.2555008670219653"
"2020.05","Busan","457564","3406942.0","1670175.0","1736767.0","584008","1521683","933335","367916","13.3","3.5","4.1","1511199.0","2.254462847050587","0.30278209554135493"
"2020.05","Chungcheongbuk-do","84747","1596710.0","809114.0","787596.0","278080","713565","406540","198525","10.2","1.8","2.2","729270.0","2.1894634360387784","0.11620798881072854"
"2020.05","Chungcheongnam-do","137715","2118510.0","1080425.0","1038085.0","347631","942144","550859","277876","10.4","3.1","2.5","967947.0","2.1886632222632025","0.14227535185294235"
"2020.05","Daegu","318775","2429059.0","1199504.0","1229555.0","447544","1117882","573439","290194","10.9","3.5","2.7","1044412.0","2.325767034465326","0.3052195876722979"
"2020.05","Daejeon","182017","1471915.0","734940.0","736975.0","293118","681730","308205","188862","8.7","4.0","5.9","643220.0","2.2883539069058796","0.28297783029134665"
"2020.05","Gangwon-do","86080","1538639.0","773923.0","764716.0","254705","663769","447917","172248","9.5","3.0","3.1","724966.0","2.1223602210310553","0.11873660281999432"
"2020.05","Gwangju","147426","1455533.0","720300.0","735233.0","295087","668197","293830","198419","9.2","3.4","2.9","624687.0","2.3300196738526653","0.23599978869417804"
"2020.05","Gyeonggi-do","1303897","13324041.0","6703603.0","6620438.0","2482173","6428546","2595541","1817781","8.9","3.1","3.3","5547190.0","2.401944227617947","0.2350554064310038"
"2020.05","Gyeongsangbuk-do","107302","2648760.0","1333815.0","1314945.0","409513","1149781","785811","303655","15.2","3.6","3.3","1239069.0","2.1377017744774505","0.0865988899730362"
"2020.05","Gyeongsangnam-do","209582","3351347.0","1687289.0","1664058.0","552085","1537947","824056","437259","11.0","3.7","2.4","1465556.0","2.2867410047790737","0.14300511205303654"
"2020.05","Incheon","185107","2950063.0","1478307.0","1471756.0","549982","1416647","613525","369909","8.7","4.1","4.5","1249739.0","2.360543281437164","0.14811652673078138"
"2020.05","Jeju-do","41508","670793.0","337111.0","333682.0","117969","308086","148442","96296","7.0","2.6","2.8","296803.0","2.260061387519668","0.13985033843997532"
